fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
rn1qkbnr/4pp2/2P5/pp1p2p1/5Pp1/2K1PN2/PPP1b2P/RNBQ1R2 b kq - 0 16,g4f3,black,e2d1,819,888,69
rnbqkbnr/1p2p3/2p3p1/p1Pp1p1p/3P4/1Q3P1P/PP2P1P1/RNB1KBNR b KQkq - 0 7,e7e5,black,e7e5,199,190,-9
3qkbn1/1b2p1p1/2p2p1r/rpBp1BPp/3PP2P/1p2RN2/P1Pn1P2/RN4K1 w - - 0 23,b1d2,white,b1d2,-295,-320,-25
2bqkb1r/1p1pn2p/4p3/r1p1Ppp1/PPP5/2NB1P1P/2QP2P1/R1B2KNR b k - 2 15,c5b4,black,c5b4,-342,-326,16
r3kbnr/pp2pp1p/1n4b1/2p3N1/PqPp4/R5P1/NP1PPP1P/2BQKB1R b Kkq - 0 14,b4a5,black,b4a5,-152,-149,3
4r1nr/N1p2kb1/2qP1p1p/p3p1p1/P2N2P1/2P1B3/1P3KBP/RQ5R b - - 0 24,c6c4,black,c6c4,-655,-693,-38
1r1qkb2/pb1pp2r/n6p/3P1pp1/P1Pp1P2/RN1B2PN/1P6/Q1B1K2R w - - 6 23,d3f5,white,d3f5,361,342,-19
1rbqkbnr/p1pnpp1p/1p4pP/3p4/1P1P1P2/8/P1PQP1P1/RNBK1BNR b k - 2 8,g8h6,black,g8h6,235,244,9
r2q1k1r/p2n3p/2pPb3/1N2p1P1/8/4P3/PP1P3P/RBBQK1NR b KQ - 4 15,c6b5,black,c6b5,-500,-503,-3
r1bk1bn1/pp1p2pr/2P1pp1B/2p5/2P1q3/5N2/PP1NPPPP/R3KB1R w KQ - 1 12,d2e4,white,d2e4,71,72,1
r1b1kb1r/pp1p4/4p1p1/P1p1np1p/5P2/RPPN1Q2/3P2PP/1NB1KB1R b Kkq - 0 14,e5f3,black,e5f3,-547,-558,-11
1rbk1bnr/2pnpp2/1p1q2Q1/p2p3p/1P1P4/2P1B2P/P3PPP1/RN2KBNR b KQ - 1 10,d6g6,black,d6g6,723,702,-21
r1b2b1r/ppp1k1pp/2n5/1N2pp2/3qP1n1/5P2/PP1P2PP/R1BK1BNR w - - 1 13,b5d4,white,b5d4,-297,-350,-53
rn2kbn1/8/1ppq1p1r/p1Pp1PpP/2Qp2RP/8/PP1N1P2/1RB1KB2 b q - 2 24,b6c5,black,b6c5,62,51,-11
r2q1knr/pbppp1bp/n7/1p6/5pp1/PP1PP1P1/1BP2PBP/RNQ2KNR b - - 3 12,f4f3,black,f4f3,219,202,-17
rnbqkb1r/1p1pp1pp/p7/P1p2n2/2P1Pp2/1P6/1B1P1PPP/RN1QKBNR b KQ - 2 9,f5d4,black,f5d4,-46,-44,2
r1bqk2r/1p1pp1bp/2p3pn/pP2Bp2/2P5/Nn4P1/P2PPPBP/R2Q1KNR b kq - 0 10,g7e5,black,g7e5,209,205,-4
r1bqkbr1/ppppp3/2n5/5ppP/P1P1PP2/1PN2N1n/3P3P/1RBQKB1R w Kq - 2 11,f1h3,white,f1h3,275,308,33
1rbqk2r/p1pp1ppp/np1b1n2/4p3/2P4P/N3P1P1/PP1P1P2/R1BQKBNR b KQk - 2 7,c8b7,black,c8b7,178,172,-6
r1q1kbnr/p1p1p3/np2Qppp/8/3P1PPP/2P1B2B/P6R/1R1bKNN1 w kq - 2 19,e6c6,white,e6c6,585,551,-34
r1b1k2r/p1q1p2p/n1P3p1/1p3pb1/1PPpPP2/6PN/P4KBP/RN1Q3R b kq - 0 13,g5h6,black,g5h6,-153,-168,-15
r1bk1b1r/Nppqnppp/n7/P1p4Q/4p2P/4P2R/P2PKPP1/R1B2BN1 w - - 0 13,a7c8,white,a7c8,-163,-172,-9
1n2kbnr/r3p3/1p1pPp2/p1p3pp/6Pq/P6b/1PPPQP1P/RNBK1BR1 w k - 0 18,e2b5,white,e2b5,-139,-151,-12
1nb1k2r/1r1p2pp/2p5/4pp2/2P1P1P1/bP3P1P/1B1P4/R1nQK2R w KQk - 0 19,d1c1,white,d1c1,414,420,6
r1bk2nr/ppp1q3/1bn1pp1p/1P4p1/3p1P2/P1P1PQP1/1B1PN2P/RN2KB1R w KQ - 2 14,b5c6,white,b5c6,471,470,-1
rnb3nr/2p1b1pp/p2p2k1/1p3p2/1P1Pp2P/1qP1PN2/PBN2PP1/RQK2B1R b - - 4 15,b3d5,black,b3d5,3,4,1
r1bk2r1/p7/n3p3/5qBp/2p1P2P/b2P1N2/PPP2P1R/R2QKB2 b Q - 0 17,f5g5,black,f5g5,-584,-576,8
r1bqkb2/p1n1n1pr/1p1p3p/1Pp1R3/2P2p1P/B1NP4/P1Q1PPP1/R3KBN1 w Q - 0 16,e5e4,white,e5e4,135,151,16
3k1b1r/1b2n1p1/rpnN4/p1qppP1B/1p5p/7R/P1PPPP1P/R1BQK3 b Q - 7 20,c5d6,black,c5d6,571,597,26
r4k1r/1bppn1pp/ppn1qp2/1Q2B3/1P2p3/N3bNP1/P1P1PPRP/1R2KB2 b - - 9 17,a6b5,black,a6b5,774,799,25
rnbqkbr1/pp1p1ppp/7n/3Pp3/1p4P1/2P2N2/P3PP1P/RNBQKB1R b KQq - 0 6,h6g4,black,h6g4,27,29,2
1rbqk1nr/1ppppp2/6p1/pB2PP1p/PP3nQP/2b5/3P2P1/RNB1K1NR w KQk - 0 13,g4f4,white,g4f4,150,156,6
1nbq1k1r/r2Bp3/pp4pn/3P1p1p/1P3bP1/P1P1N2P/1B2PK2/1RQ3NR b - - 0 18,b8d7,black,b8d7,327,375,48
r1bqk2r/p1p2N1p/P1npp1pn/1p3p2/2P4b/2NP4/2R1PPPP/2BQKBR1 b kq - 0 15,h6f7,black,h6f7,379,397,18
r2b3r/p1qnk1p1/b2p1p1p/1nB5/5pP1/PP1P1N2/R3P2P/1NQ1KB1R b K - 2 22,d7c5,black,c7c5,394,341,-53
2bq1kr1/rp2b2p/n4p1n/p2pp1P1/1P3pB1/3PPP2/P2K3P/RNB3NR b - - 0 18,h6g4,black,e7b4,921,907,-14
rqb1kb2/pp1p1ppr/4p2p/P1p5/5n1P/8/1BRPPPP1/RN1K1BN1 w q - 0 16,g1f3,white,b1c3,-550,-571,-21
r1b1kbnr/2pqp3/2np4/PP3ppp/P6P/6P1/1B1PPPB1/RN1QK1NR b KQkq - 2 10,c6b4,black,c6b4,-600,-615,-15
4kbn1/p1rnqr2/1p1p1p1p/2p1pP2/2P4p/1QN1R3/PP1PB3/1RB1K1N1 b - - 3 24,f7g7,black,f7g7,-280,-274,6
r1bk1rn1/2p2ppp/1pn4q/4p3/1bpP1PP1/1PB1PN2/PQ5P/RN2KB1R b KQ - 0 16,e5f4,black,e5f4,188,150,-38
2b1kbnr/prnppN1p/1p4p1/2p5/P1P3P1/N1qP4/4PP1P/R1BQKBR1 w Qk - 4 14,c1d2,white,c1d2,277,277,0
1rb1k1nr/4p1bp/3BP1p1/3p3Q/pq6/1Pp3P1/P1BN1P1P/2R1K1NR w Kk - 5 19,c2g6,white,c2g6,628,633,5
r1b2bn1/p2pk3/n6r/qPp1pPp1/1PP3p1/B4QP1/2NP1P1P/R3KB1R b KQ - 2 15,a6b4,black,g4f3,159,143,-16
r1b1kb1r/1pp1p1pp/p1nq1n2/3p1p2/1P1B1PP1/7N/P1PPP2P/RN1QKB1R b KQkq - 2 7,c6d4,black,c6d4,517,475,-42
1r1q2n1/p1p1pk2/2np3b/5pp1/1BPQb2p/P2PP1PP/1PK3B1/RN4R1 b - - 8 20,c6d4,black,c6d4,474,480,6
r1b2k2/2p4n/np1p2p1/p3p2p/1b2P2Q/PPN3PN/2PP4/1RB1K2B b - - 1 21,b4c3,black,b4c5,-586,-622,-36
rnb1Bk2/1p1p3r/p5p1/1Np1p3/P1PqP3/1P1P3R/2K1Qn2/b1B5 w - - 0 26,h3h7,white,b5d4,0,0,0
r1b1k2r/1p1p1p1p/1qn1p2b/p1pn2p1/4PP2/NP1BK1PN/P1PP3P/R1BQ3R w kq - 1 14,e3e2,white,e3e2,70,72,2
1nb3rq/rp3k1p/p4p2/2pp1p2/1nPNP2P/P3Q1N1/6P1/R1B2BKR b - - 0 25,c5d4,black,c5d4,-340,-335,5
2r1qbnr/pbpppkp1/2n5/1N3Bp1/2PP1p2/1p2PNP1/PP3P1P/2RQKR2 b - - 10 15,e7e6,black,e7e6,216,227,11
1nb1kb2/2rpq2p/p4pr1/1p1nP3/P1Pp3p/1Q3P2/1P1P2N1/R1B3KR b - - 0 25,d5f4,black,d5f4,679,769,90
rnb2b1r/pp1pkp1p/1q2p3/2p3p1/2PP4/PN4P1/1PQ1PP1n/R1B1KBNR w KQ - 0 12,h1h2,white,h1h2,579,550,-29
rn2kb1r/p2q2p1/b5np/2P1p3/1Ppp2P1/2P1pP2/P6P/R1BQKBNR w kq - 0 15,c1e3,white,g1e2,-523,-546,-23
5br1/pbqpkpp1/2r5/1p1Pp2p/1pPB1PnP/N2R2P1/PP2P3/4KBNR w K - 1 18,a3b5,white,a3b5,-426,-413,13
r1bqkbn1/ppppp2r/2n4B/5pp1/2PP3P/P3P3/1P3PP1/RN1QKBNR w KQq - 0 7,d1h5,white,h6g5,447,447,0
r1qnkb1r/p1ppp1pp/b6n/Pp3p2/1P1P2PP/2P5/4PP2/RNBQKBNR b KQkq - 0 8,h6g4,black,c8b7,32,30,-2
rnb1kb1r/pppp4/6p1/5nPQ/1PP1p2R/3p4/R2N1PP1/2B1KBN1 b kq - 0 14,h8h5,black,h8h5,-90,-71,19
1rb1qk2/p2pbppr/5n2/3P3p/1n4PP/1P5R/3BP1B1/RN2K1N1 w - - 7 26,e1d1,white,g4g5,-684,-681,3
r1bq1rk1/p1p3p1/np1b1p1p/4P3/1PP4P/P7/R2PP1P1/2BQKBNR b K - 0 11,f6e5,black,f6e5,121,131,10
rnb3nr/pp1p2k1/1qp1p1pp/3BP3/1P3b2/2P4P/P4PP1/RNBQK1NR b - - 0 13,f4c1,black,f4c1,241,266,25
5b2/2pbkp1r/1r1p3n/1pnQqP1p/pP5P/2P4R/PB2P1B1/RN2K1N1 w Q - 0 23,b4c5,white,b4c5,183,178,-5
1r1qkbnr/4p3/2p5/pb1p2NP/1pB1P3/8/PPnPKP1P/RNB1Q2R w - - 0 16,c4b5,white,c4b5,-298,-279,19
4k2r/p1p2p1p/bP2p2n/2nBb1pP/2PpQ1P1/pPN2P2/R2PP3/5KNR w k - 2 24,e4e5,white,d5c6,966,994,28
r2q1b1r/2p2bp1/p1nkp1pn/5pP1/P2P3P/1p1Qp3/1RP2P1R/1NBK4 w - - 0 20,g5h6,white,g5h6,-485,-441,44
rnb4r/p1pp1k1p/1p2p3/4b3/PP1P1pp1/N2BPP2/2P4q/R1K2nN1 b - - 1 25,f1e3,black,f1e3,922,941,19
rn1qkb2/p3p1pr/2p3pB/3pP2p/1pN5/1bPP1P1P/P5PR/1R1QKB2 w q - 0 18,d1b3,white,d1b3,-57,-63,-6
rn1q1k1r/p1p1p1b1/1p3p1p/3p2N1/1K1P4/P1P1PP2/1P1nB1PP/R1BQ3R w - - 0 16,g5e6,white,g5e6,525,525,0
1r2k1nr/1bppqp2/p1nbp2p/1pP4P/1P3Pp1/B7/P2PP1P1/RN1QKBRN b Qk - 0 17,d6f4,black,d6f4,375,392,17
rnb2b1r/pp1ppk2/1Pp4n/6pp/Q1P2pPP/N4P1R/1P1PPK2/1RB2BN1 b - g3 0 12,h5g4,black,h5g4,-547,-562,-15
rnb2br1/p1pp1kpp/8/1pq1pp1n/1P1P4/N3PP1P/P5P1/R1BQKBNR b KQ - 0 10,c5b4,black,c5b4,90,74,-16
2rqkbnr/pp2ppp1/n1p5/3p3p/PPP5/1R1P4/4NPPP/2BQKBNR b K - 2 13,e7e5,black,e7e5,-290,-300,-10
r3kb1r/1pq1N2p/5pp1/p2p4/P2P1B2/1P1P3b/4PPP1/Q1R1KB1R w kq - 1 21,c1c7,white,c1c7,704,707,3
rn1qkbnr/1bpp1ppp/1p6/p3P3/4P2P/P6R/1PPP2P1/RNBQKBN1 w Qkq - 0 8,d2d4,white,b1c3,238,275,37
r3kbnr/ppq1p1p1/5p2/2P3P1/4p2p/2P1P2R/P2PKP1P/R1BQn3 b kq - 0 19,e1d3,black,e1d3,595,635,40
r1bqk1nr/p5pp/n2bp3/1p3p2/P2p1PP1/3p3P/RPPNPNB1/2B1QKR1 b - - 0 17,a6b4,black,a6b4,1,-6,-7
r3kbnr/p4p1p/np1p1P2/1bp1B3/1P2PP2/N6R/P1PP2P1/1R1QKBN1 b kq - 1 12,b5f1,black,b5f1,-745,-744,1
2bqkb2/4p2n/rpnp2r1/p4ppp/3PP1PP/PPP2P2/1Q2B3/RNBK2NR w - - 1 19,g4f5,white,g4f5,502,540,38
rnbqk1nr/2pp1ppp/4p3/pp6/7P/b1P3PR/1P1PPP2/RNBQKBN1 w Qkq - 0 6,b1a3,white,b1a3,382,388,6
rnb2b1r/1p2pk1p/p1p3pn/3p1p2/1PPP2P1/P3P2P/N1Q2P2/2R1KBNR b K - 1 16,f5g4,black,f5g4,-645,-646,-1
1rb1k1r1/ppp2pb1/N3p2p/6qn/3nP1Pp/2PPQ2N/P4P1P/2R1KBR1 w - - 5 17,a6c7,white,h3g5,484,481,-3
rn2r3/1bq2kbp/pp3p1n/1PpppBp1/P2P2P1/N6N/2PQPP1P/2K1R2R b - - 0 20,b8d7,black,c5d4,481,429,-52
3qr1k1/3pp1Bp/3r2pb/pp1b1pn1/Pp3PP1/2NPP1P1/2P4R/R1Q1KBN1 w - - 5 25,g7h6,white,g7h6,436,435,-1
rnbq1b2/p1p1kppr/1p1p4/4p3/2N1B2P/1P2PP1P/P1PPK3/R1Bn2NR w - - 2 13,e2d1,white,e2d1,-409,-428,-19
r2qkbnr/1bpp4/1pn1pp1p/pP4N1/8/B3P1PB/P1PP1P1P/RN1Q1RK1 b kq - 2 12,h6g5,black,h6g5,168,135,-33
rnbqkb1r/1p1pp1pp/7n/5p2/ppP5/2N2P1P/P2PP1PR/R1BQKBN1 w Qkq - 2 7,c3b5,white,c3b5,-205,-191,14
1nbqkb1r/rp1pppp1/p4n1p/P1p5/1P4P1/8/2PPPP1P/RNBQKBNR b Kk - 3 7,c5b4,black,c5b4,254,238,-16
1nbqk2r/r1ppnp1p/4p1p1/p2P2bQ/1PB1PP2/P4N1P/2P3P1/RNB1K1R1 b k - 3 16,g6h5,black,g6h5,436,392,-44
B1bk2r1/1q6/ppn4n/1N1p1ppp/P2p1PPP/b3PQ1R/1PPK4/R1B5 w - - 6 26,a8b7,white,a8b7,508,477,-31
r2q2n1/1pN2k2/p3pb1p/3Pp2n/P7/3B1pPb/1P1P3P/R1B1K1QR w - - 2 24,g1e3,white,c7a8,150,80,-70
rn1k1bn1/1p1bpp1r/2p5/p2P2p1/N2q2p1/4P1N1/PP2KPBP/1RBQ3R b - - 1 19,d4c4,black,d4d1,45,7,-38
rnq1kbn1/4r3/6p1/pp1pPP1p/2p5/P1N2K1P/1PPPN1R1/R1BQ4 w - - 7 23,d2d4,white,d2d4,159,186,27
r1b4r/2p1q2p/pp2p1kn/3Pb1p1/Pn1PP1PR/BP2KP1N/R5B1/1N6 w - - 4 26,d4e5,white,d4e5,-475,-513,-38
rn2k1r1/2ppb1pp/1pP1p2n/1B2Pp2/p4P1R/8/PPP1QKP1/R3B1N1 b q - 0 17,e7h4,black,e7h4,-495,-494,1
rn1qk2r/p2p1p2/3b4/2p1P1pp/PPp5/2P3PP/R3KPn1/BN5R w - - 0 21,e5d6,white,e5d6,-622,-617,5
rn2k1n1/1qp1p2r/1pN4b/pb3ppp/P4P1P/1PNp1K1R/2PPP1P1/R1BQ1B2 w q - 0 18,a4b5,white,a4b5,-4,37,41
1Q1rkn2/p1R1bp1r/3p3p/n7/5p2/1P2p1PP/P1P1qPB1/2K3NR b - - 5 24,e2e1,black,e2d2,1008,1109,101
r4bnr/p2p2p1/1Nn2p1p/2P2k2/1pP5/8/PB1P1N1P/2KR1B1b w - - 0 23,b6a8,white,b6a8,159,159,0
r2n3r/qp1k1pp1/2pb4/p1n1Pb2/P1PNpBpP/8/1P1KB3/1R3QNR w - - 4 24,d4f5,white,d4f5,182,192,10
rn2kb1r/pp1b1p2/1q2pnpp/1Npp2B1/2P5/P2P1P2/1P2P1PP/R1Q1KBNR b kq - 1 10,h6g5,black,h6g5,588,622,34
r1b2b1r/1pp2kp1/p3pp1p/3p2q1/Pn6/1PPPQPnP/4P2R/RNK2BN1 w - - 0 16,f3f4,white,f3f4,-676,-667,9
r1bqkbnr/1ppn4/p3pp1p/P2p3P/1PR5/5P2/1BPPP1P1/RN1QKB1n b kq - 1 14,d5c4,black,d5c4,626,623,-3
rnb1k1nr/1p1pp2p/Q5q1/5Pp1/p7/2NP4/PB3PPP/RN2KB1R b KQ - 0 20,g6a6,black,g6a6,410,423,13
r1b4r/p1pq1pbp/1p1p3n/P3pkN1/1P3P1P/N2PP3/2P1K1P1/1RBQ1B1R w - - 3 16,f4e5,white,e2e1,536,522,-14
rnb1kbnr/p1qpp1pp/2p5/5pB1/1p1P2P1/2P2P2/PPQ1P2P/RN2KBNR w KQkq - 2 7,g4f5,white,g4f5,186,197,11
r2q2nr/pbp1pkbp/3p4/1p2Pp2/P1P4P/2NPBN2/1P3PP1/R1R3Kn b - - 0 21,b7f3,black,b7f3,713,687,-26
rn2nb1r/ppk1qpBp/3pp3/7b/1p3P1P/P1N1PN2/1QPP2P1/R3KBR1 w Q - 1 13,c3b5,white,g7h8,426,395,-31
r5kr/pB4qp/n4p1n/1pNpp3/4P1pN/P1Pp2P1/P3QP1P/R1B2KR1 b - - 3 24,d3e2,black,d3e2,53,81,28
rnbqkbr1/1pp1pppp/3p3n/8/8/1p2PPP1/P1PP2BP/RNBQ1KNR w q - 0 7,c2b3,white,c2b3,-68,-66,2
2bqkbn1/3pp3/r4p1r/Q1p3Pp/1n1P4/P1P4P/1B2P1P1/RN1K1BNR b - - 0 14,d8a5,black,d8a5,516,488,-28
r1k2b2/pbpqpppr/n6B/1p1p2N1/1PPPn2P/4P3/P2Q1PP1/RN2KB1R w KQ - 3 14,g5e4,white,g5e4,110,113,3
r1bqk2r/3pbp1p/5n2/Bpp1p1p1/5N1P/1P1P4/P2NKPn1/1RQ2B1R b kq - 0 18,g2f4,black,g2f4,734,709,-25
q2k3r/4bp2/2Q2n2/p1p1p1pp/2B1PP2/P4KNP/1P1B2P1/RN5R b - - 0 21,g5g4,black,g5g4,-367,-346,21
r1b3nr/p1ppqk1p/1p2ppp1/8/1n1PP3/1P4PP/PbP2P2/RNB1QKNR w - - 1 15,c1b2,white,c1b2,-278,-273,5
rnb2k2/pp1pq1pr/4pn2/2p2p1p/3P3P/N1P5/PP2PPPB/R2QKBNR w KQ - 3 11,g1f3,white,g1f3,567,556,-11
rn1qkbnr/pp1bpp1p/3p4/6p1/1p2P3/5QP1/P1PP1P1P/RNB1KBNR b KQkq - 1 6,f8g7,black,f8g7,252,241,-11
rnb2b1r/pq1kppp1/3p3p/1p3n2/2P3P1/4P2B/PP1P1K1P/1RB1Q1NR w - - 1 19,h3g2,white,h3g2,-111,-102,9
rnb1k1n1/2pp1pp1/8/pp2pP2/1bPPP1pr/PQ6/4NK2/RNB2B1R w q - 0 15,h1h4,white,h1h4,704,702,-2
r1bq1bn1/p1ppkp1r/np4pp/4p3/5P2/N2PP2P/PPP2KP1/R1B1QBNR b - - 1 10,e5e4,black,e5e4,-47,-40,7
1rbq1bnk/3pp3/5p1r/p2N2pp/5P2/1Pp3PB/1PNPP2P/1RBQ1K1R w - - 0 21,b2c3,white,h3g2,337,329,-8
1n2kb1r/rp2pppp/2p3bn/p2p4/P2P2P1/qQPNPP1P/1P2BK2/RNBR4 w - - 0 16,b1a3,white,b1a3,775,752,-23
r1b3nr/ppp1b3/2kp1pp1/4p2p/qP4PP/PnNPPP2/R1P5/2BKQBNR w - - 3 20,c3a4,white,c3a4,725,704,-21
r5n1/pq2k1b1/bpp1p1pr/2P1Pp1P/3p3P/P2P3B/1B1QKn2/RN4NR w - - 1 22,e2f2,white,e2f2,169,170,1
r2qkb1r/p2b1p2/n1pp3n/1p2p1pp/1PBPP1P1/2N1Q3/P1PB1P1P/R3K1NR w KQkq - 0 13,c4b3,white,c4b3,-110,-117,-7
r1bk2q1/p1pp2Q1/n2r1n2/5ppp/2P2PP1/3N1R1P/PP1PPKB1/RNB5 w - - 7 23,g7g8,white,g7g8,595,589,-6
3nk3/2p2prp/pr1P2pn/1P4P1/1PP1p1b1/B1q2BN1/4Kb1P/RQ5R b - - 0 24,e4f3,black,e4f3,99992,99993,1
r1b1kbr1/1p1npppp/p7/q1pP4/6PP/NPn1P3/P2P1P2/1RBQKBNR b Kq - 2 11,c3d1,black,c3d1,542,543,1
rn2kbnr/p1qpp1pp/bpp2p2/3NN3/Q7/P3P1PP/1PPP1P2/R1B1KB1R b KQkq - 5 10,c6d5,black,c6d5,464,445,-19
rnb1k1nr/pp1qp2p/3p3b/1Np1Npp1/P4P1P/8/1PPPP1P1/R1BQKB1R b KQ - 0 11,d6e5,black,d6e5,149,147,-2
1rbqkb1r/1pp1pppp/n2p1n2/Q7/2P5/N2P2PB/PP2PP1P/R1BK2NR w - - 0 10,h3g2,white,h3g2,106,101,-5
2rnk2r/2p1bppp/pp1p4/7n/5PbP/BP1PP2P/P3Q1B1/R3K2R b k - 6 23,g4e2,black,g4e2,515,485,-30
1n2k1n1/4b1p1/b2ppr1r/1P3P1p/R6q/Np1P1N1R/2PQ2P1/4KB2 w - - 0 24,f3h4,white,f3h4,573,585,12
rn2kb1r/p1pb1ppp/1N1p4/2PPp1P1/1p2P3/4B2P/P3PK1R/R2Q1BN1 w - - 1 22,b6a8,white,b6a8,867,884,17
r1b1kbr1/1pp1pppp/n2q1n2/P7/1P2pP2/N6P/R2PN1P1/2BQKB1R w K - 0 13,a3c4,white,a3c4,-138,-141,-3
r5nr/2pp1k2/b2b1q2/pp1P3p/1P2p1Pp/n3PN1B/2P1RP1R/2B1K3 b - - 3 23,e4f3,black,e4f3,924,936,12
Brb1k2r/p1ppq3/2n1N1pb/7p/1nP3P1/NP1P4/P3PP1P/R1B1K1R1 b Qk - 4 15,h6c1,black,h6c1,693,702,9
rBb1q1nr/1p1pk2p/pp4p1/3P1p2/P3pb2/7P/1PPNPPP1/R3KBNR w KQ - 0 14,b8f4,white,b8f4,-114,-109,5
rnbqkbr1/p2p1pp1/5n1p/1pp1p3/4PB2/3P2P1/PPP1NP1P/1R1QKBNR w Kq - 0 8,f4e5,white,f4e5,222,186,-36
1r1q1knr/3b1pp1/4p3/Pppp4/1p2P3/3P1P2/R4N1R/1N1QKB2 b - - 0 23,h8h2,black,h8h2,487,483,-4
4kb2/R1q1ppr1/2p3pn/1p1pPb1P/1P6/3P2NP/1BK2P2/1NQ2B1R b - - 0 23,c7a7,black,c7a7,-303,-327,-24
r1bqkbn1/p1ppp1pr/1pn2p1p/7P/5P2/3P3R/PPP1P1P1/RNBQKBN1 w Qq - 3 6,d3d4,white,d3d4,108,106,-2
3qkb2/rP1np1nr/p4Q1B/4P1pp/1p1p1P1P/P2P4/2P3PR/RN2KBN1 w - - 1 22,f6g6,white,f6g6,99999,100000,1
r1bqkr2/ppp3pp/1n5n/3ppp2/P5P1/RP1P3P/2PNPP2/2BQKBNR b Kq - 2 10,f5g4,black,f5g4,-289,-301,-12
r1bqkbnr/1p1ppp1p/n5p1/p5P1/P1p5/N3PN2/1PPP1P1P/R1BQKB1R b KQkq - 1 8,d7d5,black,d7d5,-51,-41,10
r1bqk1nr/p1pp1ppp/n2b4/1p2p3/5PP1/P2P4/2P1PK1P/RNBQ1BNR b kq - 6 9,d8h4,black,d8h4,451,429,-22
r1b1r3/p2pk1p1/n4p2/2NPp2p/q5n1/5P2/PP1QP1PP/3RKBNR w K - 2 19,c5a4,white,c5a4,795,777,-18
r2Nkb1r/p2np3/1pp2n2/7p/2PP2b1/1P2P3/P3Q2P/RNB1K2R w KQkq - 0 18,e2f1,white,e2f1,358,372,14
r2qkb1r/1ppbpppp/1n1p1n2/pB4P1/1P6/B3PN2/P1PP1P1P/RN1QK2R b KQkq - 0 7,d7b5,black,d7b5,271,271,0
r2qkb1r/pp1np2p/n1ppb1p1/8/1P2PBp1/3P4/PNP1KPBP/R2QN1R1 w q - 2 17,d3d4,white,d1d2,-197,-196,1
1rb1kb1r/p1p1np2/1p2q2p/2Ppp1p1/1n2PPP1/N1N4P/PP1P4/1RB1KBR1 b k - 2 15,e5f4,black,e5f4,747,796,49
r1b1kbnr/pp2pp2/n5p1/2p1p3/3P2Pp/1qN1P2P/PPP1BP2/R1BQK1R1 w q - 0 14,a2b3,white,a2b3,629,627,-2
r1b1kbn1/1p1n4/p2pp1pr/2p2pBp/5N2/PqPP2P1/R2QPP1P/1N2KB1R b Kq - 3 12,b3b1,black,b3b1,520,522,2
r3kbnr/1bq5/pPp2pp1/2p1pP1p/PP4Q1/N2P3P/3P2P1/1RB1KB1R b Kkq - 0 20,h5g4,black,h5g4,94,86,-8
r3k2r/pbp1qppp/n2p3n/2b1p3/p4PPP/5N2/PPPPPK2/R1BQ1BR1 w kq - 5 12,e2e3,white,e2e3,-428,-447,-19
rn3bkr/2pbqnpp/p7/1N1p2N1/1P6/B3P1PB/P1PK3P/R3Q2R w - - 1 19,h3g2,white,h3g2,-291,-282,9
r4b1r/pb1kp3/P1pp3n/1p1P4/4pp1p/Q1N5/q1P1K1PP/R1B1NB1R w - - 0 25,a1a2,white,a1a2,710,699,-11
rn2kbnr/pp2pNpp/2p2p2/1q1p4/2PQPP2/N4b2/PP1P2P1/RBB2K1R b kq - 12 17,b5b6,black,b5a4,-363,-379,-16
rnb2k1r/p2qp3/1pp3pb/7p/PPBP1N2/5PP1/R1PB1K1P/1N2Qn2 w - - 0 22,e1e5,white,f4e6,406,414,8
r7/1qp4r/p2kbn1R/1p1p1PN1/1P6/b1PP1P1B/P3KP2/R1B5 w - - 2 23,c1f4,white,c1f4,303,326,23
1n4nr/r1k1bp1p/3pp3/1p3qp1/1P6/B3P1Pb/2RKBP2/5NR1 b - - 0 24,c7d8,black,c7d7,842,856,14
3qk1nr/1rp1bp2/p6p/Pp1pPbp1/8/N4PPB/PBP1PK2/R2Q1N1R b k - 3 18,f5h3,black,f5h3,-309,-308,1
2N1kb1r/rp2p3/n2p4/p1pP1pBp/1q5P/3P2P1/PPPNBP2/1R1Q1KR1 b k - 0 22,a7a8,black,a7a8,-849,-931,-82
r2qkbn1/3nppp1/1pp3P1/p2Q4/7p/4P2P/PPBP2P1/RNB1K1NR b - - 3 16,c6d5,black,c6d5,196,211,15
r1bqkbnr/p2ppppp/8/1p6/1P2P3/Nn6/P1PB1PPP/RQ2KBNR w KQkq - 1 8,a2b3,white,a2b3,435,425,-10
1rbqkb2/p1p1ppp1/np1p1n1r/7p/P1P1P3/R4N2/1P1P1PPP/1NBQKB1R w K - 2 8,b1c3,white,d2d4,140,150,10
r1b1k3/3n1prp/3bpn2/pp2p1p1/2PpPPPP/qP5B/R4Q1R/4K1N1 w q - 2 25,a2a3,white,a2a3,-461,-477,-16
1r3bnr/p3pp1p/b2pkBP1/1p1q3P/1pP4N/N2P4/n1Q1PP2/R3KBR1 w Q - 2 21,f6h8,white,c4d5,674,737,63
r1bq1b1r/3kp2p/1pp2nQn/p4p2/2P1pN1P/3P2P1/P3B3/RNBK3R b - - 4 16,h7g6,black,h7g6,712,663,-49
4k1r1/rpp4p/p6b/1PPbpn2/Q1q1PpB1/P5P1/1B1PN2P/RNK3R1 w - - 3 26,a4c4,white,a4c4,456,469,13
