fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
1rbqkbnr/n1ppp2p/Qp3pp1/8/4P3/1P5N/P1PP1PPP/RNB1KB1R b KQk - 1 8,c8a6,black,c8a6,525,523,-2
rnb1kb1r/1p1p1p1Q/1q2p3/p1Pn2p1/P5P1/2P2P2/1P2P2P/RNB1KBNR b KQ - 0 10,b6b2,black,b6b2,-44,-29,15
r1b1kb1r/ppppn1pp/2n1pq2/5p2/1P3P1P/8/P1PPPKP1/RNB1QBNR w kq - 1 6,b1c3,white,b1c3,-140,-169,-29
rnbqkb1r/1ppp2p1/8/p2np2p/P7/2NQP2P/1PPP1PP1/1RB1KB1R b Kkq - 1 9,d5e7,black,d5e7,258,263,5
1nb2br1/3qk1pp/rpp1B3/p2ppp2/8/NP2P2P/P1PP1PP1/R1BQK1NR w - - 2 13,e6d7,white,e6d7,728,714,-14
rnbqk2r/pppp4/4pnp1/2N2p2/5bp1/7P/PPPPPP1N/R1BQKB1R w KQkq - 0 9,d2d4,white,d2d4,-187,-193,-6
2b1kbnr/rpBp2p1/n6p/p1p2p2/Q1P5/P2PPp1N/RP4qP/1N2KB1R b Kk - 1 13,g2h1,black,g2h1,402,344,-58
r1b2rk1/p2pnp2/1pp5/n1b1p1pp/P4PPP/1P2q3/1BPPBN2/RQ2K1NR w KQ - 0 17,d2e3,white,d2e3,615,612,-3
2b1k1n1/1p1npp1r/rqp5/p2pb1Pp/P2P1NP1/1PB1PP2/2P3BR/1N1Q1K2 b - - 0 23,e5f4,black,e5f4,361,309,-52
r1bqkb1r/1pppp1pp/p1n2p2/8/3P1n2/P1N3PN/RPP1PP1P/2BQKB1R w Kkq - 1 7,h3f4,white,h3f4,455,464,9
rnb2k2/1p1pn2r/p3pp2/1Bp4p/PbP1Pp1q/1Q4PP/1P1P1K2/RNB3NR w - - 0 15,g3h4,white,g3h4,445,446,1
rn1q1b1r/p1pkppp1/1p5n/5b1p/1Pp5/P1Q5/3PPPPP/RNBK1BNR w - - 1 12,e2e4,white,e2e4,122,128,6
r1b2r2/2pn1k2/pp1p1Np1/B3p2p/P1PQ2nP/1P3PP1/N3P2R/3RKB2 w - - 1 26,d4d5,white,d4d5,728,747,19
1nb1kbnr/3qp1pp/2pr4/pp3p2/P2p4/1PN1PP2/1BPPQ1PP/R2K1BNR w k - 3 11,e3d4,white,e3d4,179,172,-7
rnb1kb1r/pppp2pp/4p1n1/2q5/4p3/1P1P3P/P1PB1PP1/RN1QKBNR b kq - 0 8,e4d3,black,e4d3,224,215,-9
1nb1q2r/3pn1b1/3k3p/1p2ppp1/2QpP2P/pP3NPR/P2BBP2/1RK3N1 w - - 0 25,d2b4,white,d2b4,99999,100000,1
r1bqkbnr/pppp1ppp/8/1Pn1p3/5P2/N6P/P1PPP1P1/1RBQKBNR b K - 0 6,d8h4,black,d8h4,99998,99999,1
1nb1k2r/2pp1p2/rp2pnp1/7p/5PP1/PB5N/2KbP1RP/RNB5 b k - 1 19,d2c1,black,d2c1,531,525,-6
rnbqkb1r/1ppp1p1p/p2np1p1/4PP2/7P/1QP3P1/PP1P2B1/RNB1K1NR b KQq - 0 9,d6f5,black,d6f5,127,124,-3
1nb2b1r/7p/rp1q1k1R/p1p2Pp1/P2pQP2/R5P1/1P1P4/1NB1KBN1 b - - 0 17,f8h6,black,f8h6,84,168,84
1rb1rk2/p2p2bp/1pP1Ppn1/3P2p1/Pn4P1/8/2NP1PBP/R1B1K1NR w - - 1 26,c2b4,white,c2b4,437,456,19
rnb1kbnr/1p2p3/p2q1p1p/2pp3P/1P6/2N3R1/P1PPPPP1/R1BQKBN1 w Qkq - 0 9,b4c5,white,b4c5,269,249,-20
rnbq1kr1/1p1pbp2/p1p2n1p/1P2p1p1/3PP1P1/B4N1B/P1P2PRP/RN1QK3 b Q - 0 13,e7a3,black,e7a3,326,333,7
r1b2k2/p5b1/Bq1p1pr1/2p5/P2Np1pp/1Pn1P3/2PK1PPP/RNB4R w - - 4 25,b1c3,white,a6c8,-601,-615,-14
r2qkr2/5p1p/3pb2n/1ppp2p1/pP2n2P/2PBP3/PB1P1P2/RN3K1R w q - 4 19,d3b5,white,f1e1,-704,-736,-32
1nb3nr/rp1p2kp/7b/2p1pp2/pP2B1p1/3P2P1/P1PQPK1P/RNB3NR w - - 2 16,d2c3,white,d2d1,497,484,-13
3qkb1r/1rpnp2p/7n/1p1p1pP1/p1PP3R/1PNBP3/P2B1PP1/R3K1N1 b Qk - 1 15,e7e5,black,d5c4,343,327,-16
1r2kbnr/Rpp1p2p/5p2/6pP/qP6/2QP1P2/2P1PRK1/1N6 w k - 2 26,a7a4,white,a7a4,623,589,-34
rnb4r/pp2kBp1/3p3p/2Q3b1/5P2/1PnqP1PP/P1PP4/RNB1K1NR w - - 1 20,c5c7,white,c5c7,672,662,-10
2bqkbnr/4pp2/rppp2pp/8/pP4Q1/2nPP1PP/PBP2PBR/RN2K1N1 b Qk - 7 13,c8g4,black,c8g4,342,316,-26
r1bqk2r/1ppp3p/n1B3pn/p3ppb1/P3P1P1/3K3N/1PPP3P/RNB2Q1R w kq - 4 12,c6b5,white,c6b5,-396,-436,-40
r1bqkb1r/p1pppp1p/n4n2/1p1N3Q/P6p/4P3/1PPP1PP1/R1B1KBNR b KQkq - 1 6,f6h5,black,f6h5,518,512,-6
r2q1b1r/pp2kppp/n2p4/P1p1p3/4PnbN/R5P1/1PPP1P1P/1NBQKB1R b - - 0 10,g4d1,black,g4d1,479,481,2
rn2kb1r/1p1b1pp1/pq2p1Bp/2pp4/P2P1PnP/1P2P2R/1QP5/RNB2KN1 w - - 0 19,a4a5,white,d4c5,-254,-300,-46
rnB1k3/p1p1np2/5rp1/1p1Np1P1/1P2P3/b5qb/P1PP1Q1P/R1B1K2R b KQq - 0 19,g3f2,black,g3f2,99995,99996,1
1nbk1b1r/2r3p1/p1p1Qn1p/5P1N/1PPN4/2B5/P3PPBP/R2K1R2 b - - 0 21,c8e6,black,c8e6,-755,-771,-16
rnb2b1r/pp1p2pp/5k1n/2P1p3/3PB1p1/N6N/PBq1PP1P/1R1Q1RK1 w - - 0 15,d1c2,white,d1c2,758,759,1
2b1k1nr/1ppnqp2/r2P2pp/p7/3Q1P1P/P1b1pN2/1P1PP1P1/RNB1KB1R w KQk - 1 13,b1c3,white,b1c3,479,533,54
rnb1k1nr/1ppp1q1p/p3pppb/8/3P1PP1/PP2P2N/2P4P/RNBQKB1R w KQkq - 0 8,c2c4,white,f1g2,121,119,-2
1nb1q2r/rkpp1ppn/p4b2/2p2BNp/1PP2P1P/N2pP1P1/P2K4/2Q4R w - - 0 25,c1b1,white,g5h7,-553,-559,-6
r2q1bnr/4p1pn/2p5/pP1P3p/RPP2Pk1/3b4/1B1PN2P/3K3R b - - 1 25,h5h4,black,d3e2,591,618,27
1n2qk1r/rp3p2/p4P2/1NPQp1pp/3P2b1/2P4B/P4P1P/R1B1K1NR w KQ - 0 20,b5d6,white,d5d6,657,712,55
r2qkbnr/pppb1ppp/n3p3/3p4/Q1P1P3/7N/PP1PKPPP/RNB2BR1 b kq - 1 6,d7a4,black,d7a4,754,730,-24
5bkr/3b2pp/n3pp1n/rpq5/1PpP2PP/RQ3P2/8/1N1K2NR b - - 1 24,c5d4,black,c5d4,903,916,13
rn4nr/p1pq1kp1/1p1bb2p/3ppP2/2P2P2/P5Q1/1P1PNKPP/RNB2B1R w - - 5 11,g3g6,white,g3g6,547,530,-17
r1b1kb1r/2q1p1p1/p1p2p1n/1p1pPP2/1P5p/P6P/1P1PB1P1/RNBQK1NR w KQkq - 2 12,e2h5,white,e2h5,229,231,2
r1bqk2r/ppppNppp/8/4p3/1nP3PP/b7/1P1PPP2/RNBQKB1R w KQkq - 1 9,b2a3,white,e7f5,538,507,-31
rnb2bnr/1p1p4/p1q2ppB/2PkP2p/7P/N1P2N2/PP2P1P1/R3KB1R w KQ - 0 14,h6f8,white,h6f8,255,254,-1
rnn1kbr1/4ppp1/2p1b3/pp1p3p/1P5P/P1P1PP2/RB1PK1P1/1N2QBNR b q - 5 15,g7g5,black,b8d7,-677,-668,9
rnb1kbnr/pp1q1ppp/3pp3/2p5/4P3/2N1Q1PP/PPPP1P2/R1B1KBNR w KQkq - 4 7,b2b3,white,b2b3,70,75,5
1r2kbnr/pb1n3p/Bpq2pp1/2p1p3/1P2pP2/NN5P/P1PP2PR/R1BQ1K2 w k - 4 17,a6b5,white,a6b7,-213,-230,-17
r1b2knr/3q3p/1N1pp2b/p4p1P/1pPP2p1/P2KQP1R/4P1P1/1R3BN1 w - - 9 24,b6d7,white,b6d7,204,214,10
rnb1kb1r/p2p1ppp/1p3n2/7B/1P3P2/P1P1P2N/3P1qPP/RNBK1R2 b kq - 2 17,f2f1,black,f2f1,940,940,0
rn1qkb1r/pppb1ppp/7n/3pp3/3P1B2/N2Q3N/PPP1PPPP/R3KBR1 b Qkq - 1 6,e5f4,black,e5f4,421,411,-10
rn1q1b1r/3ppk2/b4ppn/ppp2P1p/2P4P/P3N3/1P1PP1PR/R1BQKBN1 w Q - 3 10,c4b5,white,c4b5,54,39,-15
2b1k1nr/1pqp2b1/n2Bp3/p4pPp/P1rP1P2/1NP2BP1/3QP3/Rn2K1NR b KQk - 4 22,b1d2,black,b1d2,535,541,6
7r/2pbnpBp/1Pk3p1/pp2p3/3PPPPq/8/P1n1K2P/1N2RBNR w - - 1 21,e1c1,white,e1c1,-253,-251,2
1nbqkbnr/2ppp2p/r7/pp3pp1/1P5P/N2PB3/P1PQPPP1/R3KBNR b KQk - 0 7,f8g7,black,f8g7,168,177,9
3qkbnr/rppbpppp/n2p4/p6Q/P3P3/6P1/1PPP1PBP/RNB1K1NR w KQk - 1 9,h5a5,white,h5a5,135,134,-1
r1b2b2/1p2pk2/5N1n/p4P2/PPPP1n1p/5pr1/7P/RN1RK3 w - - 0 25,h2g3,white,h2g3,-563,-577,-14
r1bq1b1r/3n1kp1/1pnppp1p/p1pPN3/P5P1/N1PK4/1P1QPP1P/R1B2B1R b - - 2 14,d7e5,black,d7e5,370,370,0
1rbqkbnr/pppp4/2n1pppp/N7/1PP5/8/P2PPPPP/R1BQKBNR b KQk - 0 7,c6b4,black,c6b4,108,111,3
r3nk1r/p2nb2p/b6N/1ppp2pP/PP2Pq2/5PRN/2PPBKP1/R1B1Q3 w - - 2 24,h3f4,white,h3f4,600,599,-1
2rq1bnr/p1nppk1p/1p6/1Pp2p1p/P5P1/2N2b1B/2PPPK2/R1B1Q1NR w - - 2 15,e2f3,white,e2f3,280,280,0
